,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
821,house,arjun marg/ sector- 26 phase- 1/ golf course road,sector 26,31.5,35000.0,9000.0,Plot area 1000(836.13 sq.m.),7,9,3+,3.0,North-East,Moderately Old,,9000.0,,1,1,1,1,0,2,74
2834,house,independent,sector 43,27.5,24366.0,11286.0,Plot area 1254(1048.5 sq.m.),6,7,3+,3.0,North-East,Relatively New,,11286.0,,1,1,0,1,1,1,42
2488,house,dlf city plots,sector 26,26.0,57206.0,4545.0,Plot area 505(422.24 sq.m.),6,7,3+,2.0,North-East,New Property,,4545.0,,1,1,0,1,1,1,138
2211,house,independent,sector 26,26.0,82540.0,3150.0,Plot area 402(336.12 sq.m.)Built Up area: 400 sq.yards (334.45 sq.m.)Carpet area: 350 sq.yards (292.64 sq.m.),16,16,3+,4.0,North-West,New Property,,400.0,350.0,1,1,1,1,0,2,72
1686,house,suncity township,sector 54,25.0,31111.0,8036.0,Plot area 1000(836.13 sq.m.),4,4,3+,2.0,North,Moderately Old,,1000.0,,1,1,1,1,0,0,0
3046,house,emaar the palm springs,sector 54,24.0,600000.0,400.0,Plot area 400(37.16 sq.m.),5,5,2,1.0,North-East,Old Property,,400.0,,1,1,0,1,0,1,122
2765,house,independent,sector 26,23.0,25556.0,9000.0,Plot area 1000(836.13 sq.m.),4,4,3+,2.0,South-West,Relatively New,,9000.0,,1,1,1,1,0,1,145
2667,house,vipul tatvam villa,sector 48,22.0,26667.0,8250.0,Plot area 1000(836.13 sq.m.),5,6,3,3.0,,Moderately Old,,1000.0,,0,1,0,0,0,0,54
711,house,independent,sector 26,20.0,44444.0,4500.0,Plot area 500(418.06 sq.m.),5,7,3+,3.0,West,Relatively New,,4500.0,,0,1,0,1,0,2,97
2096,house,luxury dlf city floors,sector 26,20.0,48889.0,4091.0,Plot area 500(418.06 sq.m.),16,16,3+,4.0,,New Property,,500.0,,0,1,0,0,0,1,31
874,house,dlf city plots,sector 26,20.0,44265.0,4518.0,Plot area 502(419.74 sq.m.),16,20,3+,4.0,North-East,New Property,,4518.0,,1,1,1,1,0,1,153
1687,house,independent,sector 2,19.5,27083.0,7200.0,Plot area 800(668.9 sq.m.),8,9,3+,2.0,North,New Property,,7200.0,,1,1,0,1,0,0,122
966,house,vipul tatvam villa,sector 48,19.5,22222.0,8775.0,Plot area 975(815.22 sq.m.),5,6,3,2.0,North,Moderately Old,,8775.0,,1,1,1,1,0,1,110
550,house,emaar mgf marbella,sector 66,19.0,31666.0,6000.0,Plot area 9000(836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5,6,3+,3.0,North-East,Relatively New,,,6000.0,0,1,1,1,0,1,110
1526,house,dlf city plots,sector 26,19.0,42054.0,4518.0,Plot area 502(419.74 sq.m.),6,6,3,2.0,East,Relatively New,,4518.0,,1,1,0,0,0,1,121
2130,house,independent,sector 26,19.0,42222.0,4500.0,Plot area 500(418.06 sq.m.),6,8,3+,3.0,East,Moderately Old,,4500.0,,1,1,1,1,0,1,103
2003,house,independent,sector 26,18.9,41833.0,4518.0,Plot area 502(419.74 sq.m.),6,8,2,3.0,North-East,Relatively New,,4518.0,,1,1,1,1,0,1,120
2739,house,vipul tatvam villa,sector 48,18.5,26428.0,7000.0,Plot area 7000(650.32 sq.m.),4,4,1,1.0,,Moderately Old,,7000.0,,0,0,0,0,0,0,30
818,house,independent,sector 26,18.4,1859.0,98978.0,Plot area 502(419.74 sq.m.)Carpet area: 11000 sq.yards (9197.4 sq.m.),6,8,3+,4.0,South,Relatively New,,,11000.0,0,1,1,1,0,1,60
426,house,independent,sector 26,18.25,18250.0,10000.0,Plot area 550(51.1 sq.m.)Carpet area: 10000 sq.ft. (929.03 sq.m.),7,9,3+,4.0,East,Relatively New,,,10000.0,1,1,1,1,0,1,77
3267,house,adani brahma samsara,sector 60,18.02,28200.0,6390.0,Built Up area: 6390 (593.65 sq.m.),9,12,3+,3.0,North-East,Relatively New,,6390.0,,0,1,0,0,0,1,146
2658,house,dlf city plots,sector 26,18.0,39841.0,4518.0,Plot area 502(419.74 sq.m.),6,6,2,3.0,North,Old Property,,4518.0,,0,1,0,1,1,1,49
671,house,emaar mgf marbella,sector 66,18.0,55556.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3+,3.0,East,Moderately Old,,3240.0,,1,1,0,1,0,2,75
3243,house,independent,sector 26,18.0,39841.0,4518.0,Plot area 502(419.74 sq.m.),5,4,3+,4.0,North,Moderately Old,,4518.0,,1,1,1,1,0,1,113
526,house,emaar mgf marbella,sector 66,18.0,40000.0,4500.0,Plot area 500(418.06 sq.m.),5,6,3+,3.0,North-East,Relatively New,,4500.0,,1,1,1,1,0,2,153
2863,house,dlf city plots,sector 26,17.3,38734.0,4466.0,Plot area 502(419.74 sq.m.),6,7,3+,3.0,North,New Property,,4518.0,,1,1,1,1,0,1,124
1050,house,independent,sector 26,17.0,37627.0,4518.0,Plot area 502(419.74 sq.m.),5,5,3+,2.0,North-East,Relatively New,,4518.0,,1,1,1,1,0,1,124
1252,house,dlf city plots,sector 26,17.0,37627.0,4518.0,Plot area 502(419.74 sq.m.),5,6,3,2.0,North-West,Old Property,,4518.0,,0,1,1,1,0,1,87
2363,house,independent,sector 45,17.0,37777.0,4500.0,Plot area 4500(418.06 sq.m.),5,8,3+,3.0,North-East,Relatively New,,4500.0,,1,1,1,1,0,2,152
1971,house,dlf alameda,sector 73,17.0,35109.0,4842.0,Plot area 4842(449.84 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),5,8,3,3.0,North-West,Relatively New,,9000.0,,1,1,1,1,0,2,87
2829,house,independent,sector 26,16.0,35556.0,4500.0,Plot area 500(418.06 sq.m.),5,6,3,2.0,North-East,Old Property,,4500.0,,0,0,0,0,0,0,0
3048,house,independent,sector 25,16.0,26667.0,6000.0,Built Up area: 6000 (557.42 sq.m.),6,5,2,3.0,East,Relatively New,,6000.0,,0,0,0,0,0,0,0
928,house,independent,sector 45,16.0,35000.0,4571.0,Plot area 500(418.06 sq.m.),6,7,3+,3.0,East,Relatively New,,4500.0,,1,1,1,1,0,1,105
1261,house,independent,sector 25,16.0,59259.0,2700.0,Plot area 350(292.64 sq.m.)Built Up area: 325 sq.yards (271.74 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),16,16,3+,4.0,West,New Property,,325.0,300.0,1,1,1,1,0,2,72
2539,house,dlf city plots,sector 26,16.0,37778.0,4235.0,Plot area 500(418.06 sq.m.),4,4,3,1.0,,Relatively New,,500.0,,1,0,1,1,0,0,7
1012,house,dlf city plots phase 2,sector 25,15.5,34307.0,4518.0,Plot area 502(419.74 sq.m.),5,6,3+,3.0,East,Moderately Old,,4518.0,,1,1,1,1,0,0,144
3801,house,independent,sector 43,15.5,28233.0,5490.0,Plot area 610(510.04 sq.m.),5,6,3,3.0,East,Moderately Old,,5490.0,,1,1,1,1,0,0,76
1266,house,emaar mgf marbella,sector 66,15.1,18605.0,8116.0,Plot area 754,5,5,3+,3.0,East,New Property,,8067.799999999999,,1,1,1,1,0,0,120
3203,house,independent,sector 26,15.0,33200.0,4518.0,Plot area 502(419.74 sq.m.),5,6,3+,3.0,North,Moderately Old,,4518.0,,1,1,1,1,0,1,78
2102,house,unitech deerwood chase,sector 50,15.0,33333.0,4500.0,Plot area 500(418.06 sq.m.),4,4,2,2.0,West,Moderately Old,,4500.0,,0,1,0,0,0,0,160
3302,house,independent,sector 39,15.0,33333.0,4500.0,Plot area 500(418.06 sq.m.),5,5,3+,4.0,,Moderately Old,,4500.0,,0,1,0,0,0,1,27
250,house,nul,sector 25,15.0,23437.0,6400.0,Built Up area: 6400 (594.58 sq.m.),5,5,3,2.0,West,Moderately Old,,6400.0,,1,1,0,1,0,1,112
3497,house,independent,sector 26,15.0,33333.0,4500.0,Built Up area: 4500 (418.06 sq.m.),4,4,3,3.0,,Moderately Old,,4500.0,,0,1,1,0,0,1,36
3538,flat,central park resorts,sector 48,15.0,22388.0,6700.0,Carpet area: 6700 (622.45 sq.m.),5,6,3+,17.0,,Relatively New,,,6700.0,1,1,0,1,0,2,45
1200,house,independent,sector 26,14.75,51864.0,2844.0,Plot area 316(264.22 sq.m.),16,20,3+,4.0,East,New Property,,2844.0,,1,1,1,1,0,1,153
1640,house,emaar the palm springs,sector 54,14.0,62222.0,2250.0,Plot area 250(209.03 sq.m.),4,5,3+,2.0,North,Old Property,,2250.0,,1,1,0,0,0,1,160
2418,flat,ambience caitriona,sector 24,14.0,200000.0,700.0,Built Up area: 700 (65.03 sq.m.),4,5,3,3.0,East,Undefined,,700.0,,0,0,0,0,0,0,0
1025,house,independent,sector 43,14.0,39886.0,3510.0,Plot area 390(326.09 sq.m.),9,9,3+,4.0,North,Moderately Old,,3510.0,,0,1,0,0,0,0,7
1944,house,dlf city plots,sector 26,13.5,29880.0,4518.0,Plot area 502(419.74 sq.m.),5,5,3,2.0,East,Old Property,,4518.0,,1,1,1,1,0,1,110
1777,house,independent,sector 25,13.5,37313.0,3618.0,Plot area 402(336.12 sq.m.),5,6,3+,4.0,North-East,Old Property,,3618.0,,0,0,0,0,1,1,79
2404,house,independent,sector 26,13.5,29880.0,4518.0,Plot area 502(419.74 sq.m.),5,5,3+,2.0,North-East,Relatively New,,4518.0,,1,1,0,1,1,2,49
2808,house,independent,sector 25,13.5,19286.0,7000.0,Built Up area: 7000 (650.32 sq.m.),9,9,0,1.0,East,Relatively New,,7000.0,,0,0,0,0,0,0,0
2039,house,independent,sector 43,13.5,50000.0,2700.0,Plot area 300(250.84 sq.m.),16,16,3+,4.0,North-West,Relatively New,,2700.0,,1,1,0,1,1,0,41
3314,house,dlf city plots,sector 26,13.5,29880.0,4518.0,Plot area 502(419.74 sq.m.),5,5,2,2.0,East,Moderately Old,,4518.0,,1,1,0,0,1,1,104
2692,house,independent,sector 50,13.2,27155.0,4861.0,Built Up area: 4861 (451.6 sq.m.),6,6,0,2.0,,Undefined,,4861.0,,0,0,0,0,0,0,0
2342,flat,m3m golfestate,sector 65,13.2,12000.0,11000.0,Carpet area: 11000 (1021.93 sq.m.),4,4,3,13.0,North,Moderately Old,,,11000.0,0,1,0,0,0,0,60
